TDOA_12,TDOA_13,TDOA_14,Orientation,x,y
0.0011,0.0007,-0.0005,5.49400376338525,0.42424078861001,1.10871313376015
-0.0011,-0.0016,-0.0005,0.919880108756187,4.77541956637083,2.92591526840312
-0.0012,-0.0013,-0,0.912387859638412,3.2364532150554,0.53424856325637
-0.0011,-0.0006,0.0005,2.21001957228317,2.91735833575844,4.24268799493852
-0.0006,-0.0017,-0.0009,1.1663250865327,0.204330069081901,0.939001041334345
-0.0004,-0.0016,-0.0011,6.04894487883218,3.31024921934895,0.399973757791738
0.0012,0.0009,-0.0003,5.33242941917743,1.30251733477682,2.72767803425262
-0.0003,-0.0015,-0.0011,0.957233162803747,0.133681423082067,1.05506558677118
0.0012,0.0017,0.0006,4.56483506107282,1.93828335598164,3.69622438212434
-0.0011,-0.0016,-0.0004,0.484506291837297,4.67778364266475,0.189012826472226
-0.0002,-0.0014,-0.0011,0.525286760566415,2.28192968770179,4.39530052726636
-0.0005,0.0007,0.0011,3.10870794558646,2.10510262318606,4.09857904975835
0.0007,-0.0003,-0.001,5.28433674096915,4.93506501909485,1.8582291976049
